freq[Hz],db:Trc2_S21,ang:Trc2_S21
1.100000000000000E+011,-7.23E+00,-3.16E+01
1.100200066688896E+011,-7.40E+00,-7.18E+01
1.100400133377793E+011,-7.36E+00,-1.13E+02
1.100600200066689E+011,-7.46E+00,-1.54E+02
1.100800266755585E+011,-7.39E+00,1.661314114782806E+002
1.101000333444482E+011,-7.27E+00,1.243331899785119E+002
1.101200400133378E+011,-7.26E+00,8.278009842090668E+001
1.101400466822274E+011,-7.32E+00,4.057022869011076E+001
1.101600533511170E+011,-7.51E+00,-6.99E-01
1.101800600200067E+011,-7.53E+00,-4.13E+01
1.102000666888963E+011,-7.52E+00,-8.24E+01
1.102200733577859E+011,-7.46E+00,-1.25E+02
1.102400800266756E+011,-7.61E+00,-1.67E+02
1.102600866955652E+011,-7.91E+00,1.521257913127049E+002
1.102800933644548E+011,-7.98E+00,1.128271303014499E+002
1.103001000333445E+011,-7.78E+00,7.280707733130788E+001
1.103201067022341E+011,-7.67E+00,3.029524072125383E+001
1.103401133711237E+011,-7.86E+00,-1.17E+01
1.103601200400133E+011,-8.11E+00,-5.19E+01
1.103801267089030E+011,-8.16E+00,-9.14E+01
1.104001333777926E+011,-8.09E+00,-1.31E+02
1.104201400466822E+011,-7.97E+00,-1.71E+02
1.104401467155719E+011,-7.93E+00,1.475775572017832E+002
1.104601533844615E+011,-8.01E+00,1.072150606553288E+002
1.104801600533511E+011,-8.15E+00,6.757678732497465E+001
1.105001667222408E+011,-8.13E+00,3.000867082701974E+001
1.105201733911304E+011,-7.72E+00,-8.32E+00
1.105401800600200E+011,-7.18E+00,-4.96E+01
1.105601867289096E+011,-7.13E+00,-9.23E+01
1.105801933977993E+011,-7.35E+00,-1.32E+02
1.106002000666889E+011,-7.07E+00,-1.70E+02
1.106202067355785E+011,-6.51E+00,1.491453697835151E+002
1.106402134044682E+011,-6.41E+00,1.054926336168030E+002
1.106602200733578E+011,-6.80E+00,6.436925924256053E+001
1.106802267422474E+011,-6.90E+00,2.634861213154364E+001
1.107002334111370E+011,-6.58E+00,-1.24E+01
1.107202400800267E+011,-6.21E+00,-5.36E+01
1.107402467489163E+011,-6.11E+00,-9.61E+01
1.107602534178059E+011,-6.34E+00,-1.38E+02
1.107802600866956E+011,-6.58E+00,-1.76E+02
1.108002667555852E+011,-6.29E+00,1.444217473975035E+002
1.108202734244748E+011,-5.94E+00,1.031930100044336E+002
1.108402800933645E+011,-5.78E+00,6.063967889326666E+001
1.108602867622541E+011,-5.94E+00,1.832253201146322E+001
1.108802934311437E+011,-5.91E+00,-2.16E+01
1.109003001000333E+011,-5.74E+00,-6.32E+01
1.109203067689230E+011,-5.63E+00,-1.06E+02
1.109403134378126E+011,-5.62E+00,-1.48E+02
1.109603201067022E+011,-5.83E+00,1.694401087534610E+002
1.109803267755919E+011,-5.95E+00,1.283389673782586E+002
1.110003334444815E+011,-5.95E+00,8.785250057587028E+001
1.110203401133711E+011,-5.81E+00,4.640715463571595E+001
1.110403467822608E+011,-5.84E+00,3.521601249653179E+000
1.110603534511504E+011,-6.02E+00,-3.80E+01
1.110803601200400E+011,-6.20E+00,-7.91E+01
1.111003667889296E+011,-6.20E+00,-1.19E+02
1.111203734578193E+011,-6.04E+00,-1.60E+02
1.111403801267089E+011,-5.96E+00,1.583356498266453E+002
1.111603867955985E+011,-6.04E+00,1.168531741599437E+002
1.111803934644882E+011,-6.06E+00,7.551056313070417E+001
1.112004001333778E+011,-6.10E+00,3.436189388922882E+001
1.112204068022674E+011,-6.07E+00,-6.74E+00
1.112404134711571E+011,-6.21E+00,-4.87E+01
1.112604201400467E+011,-6.25E+00,-8.83E+01
1.112804268089363E+011,-6.27E+00,-1.29E+02
1.113004334778259E+011,-6.35E+00,-1.70E+02
1.113204401467156E+011,-6.42E+00,1.495404493573562E+002
1.113404468156052E+011,-6.66E+00,1.096965623288430E+002
1.113604534844948E+011,-6.52E+00,7.158756971851173E+001
1.113804601533845E+011,-6.38E+00,3.115807193503468E+001
1.114004668222741E+011,-6.34E+00,-8.99E+00
1.114204734911637E+011,-6.26E+00,-4.97E+01
1.114404801600533E+011,-6.51E+00,-8.97E+01
1.114604868289430E+011,-6.31E+00,-1.28E+02
1.114804934978326E+011,-6.16E+00,-1.69E+02
1.115005001667222E+011,-6.12E+00,1.503893649019850E+002
1.115205068356119E+011,-6.15E+00,1.098324951213315E+002
1.115405135045015E+011,-6.16E+00,7.034736622805198E+001
1.115605201733911E+011,-5.94E+00,3.075996780830393E+001
1.115805268422808E+011,-5.65E+00,-1.06E+01
1.116005335111704E+011,-5.57E+00,-5.26E+01
1.116205401800600E+011,-5.73E+00,-9.41E+01
1.116405468489497E+011,-5.64E+00,-1.33E+02
1.116605535178393E+011,-5.45E+00,-1.74E+02
1.116805601867289E+011,-5.15E+00,1.448069095383258E+002
1.117005668556186E+011,-5.03E+00,1.021004026739990E+002
1.117205735245082E+011,-5.17E+00,5.970128487434054E+001
1.117405801933978E+011,-5.10E+00,1.933125488025671E+001
1.117605868622874E+011,-5.01E+00,-2.20E+01
1.117805935311771E+011,-4.84E+00,-6.39E+01
1.118006002000667E+011,-4.79E+00,-1.07E+02
1.118206068689563E+011,-5.05E+00,-1.49E+02
1.118406135378460E+011,-5.07E+00,1.696056400366519E+002
1.118606202067356E+011,-5.17E+00,1.285995010430108E+002
1.118806268756252E+011,-5.21E+00,8.815688664577561E+001
1.119006335445148E+011,-5.09E+00,4.711458633671905E+001
1.119206402134045E+011,-5.07E+00,5.674255493617299E+000
1.119406468822941E+011,-5.01E+00,-3.63E+01
1.119606535511837E+011,-5.13E+00,-7.84E+01
1.119806602200734E+011,-5.29E+00,-1.19E+02
1.120006668889630E+011,-5.29E+00,-1.60E+02
1.120206735578526E+011,-5.24E+00,1.590036290721295E+002
1.120406802267423E+011,-5.35E+00,1.169391999084952E+002
1.120606868956319E+011,-5.58E+00,7.597352934157867E+001
1.120806935645215E+011,-5.71E+00,3.608835770345927E+001
1.121007002334111E+011,-5.84E+00,-4.14E+00
1.121207069023008E+011,-5.73E+00,-4.41E+01
1.121407135711904E+011,-5.75E+00,-8.56E+01
1.121607202400800E+011,-5.94E+00,-1.26E+02
1.121807269089697E+011,-6.09E+00,-1.66E+02
1.122007335778593E+011,-6.35E+00,1.558213785830840E+002
1.122207402467489E+011,-5.98E+00,1.163347374876895E+002
1.122407469156386E+011,-5.97E+00,7.438333567144117E+001
1.122607535845282E+011,-6.26E+00,3.412313150500815E+001
1.122807602534178E+011,-6.52E+00,-4.83E+00
1.123007669223074E+011,-6.37E+00,-4.11E+01
1.123207735911971E+011,-5.88E+00,-8.22E+01
1.123407802600867E+011,-5.86E+00,-1.25E+02
1.123607869289763E+011,-6.13E+00,-1.66E+02
1.123807935978660E+011,-6.77E+00,1.543501582345226E+002
1.124008002667556E+011,-6.35E+00,1.193406878252276E+002
1.124208069356452E+011,-5.86E+00,7.724471255888167E+001
1.124408136045349E+011,-5.90E+00,3.372818907335105E+001
1.124608202734245E+011,-6.37E+00,-8.24E+00
1.124808269423141E+011,-6.92E+00,-4.53E+01
1.125008336112037E+011,-6.40E+00,-8.37E+01
1.125208402800934E+011,-6.12E+00,-1.26E+02
1.125408469489830E+011,-6.23E+00,-1.69E+02
1.125608536178726E+011,-6.67E+00,1.487141535602597E+002
1.125808602867623E+011,-6.88E+00,1.106927144242068E+002
1.126008669556519E+011,-6.72E+00,7.003023580335545E+001
1.126208736245415E+011,-6.76E+00,2.753531381898051E+001
1.126408802934311E+011,-7.15E+00,-1.41E+01
1.126608869623208E+011,-7.68E+00,-5.19E+01
1.126808936312104E+011,-7.34E+00,-8.91E+01
1.127009003001000E+011,-6.88E+00,-1.29E+02
1.127209069689897E+011,-6.63E+00,-1.72E+02
1.127409136378793E+011,-6.80E+00,1.454099657113762E+002
1.127609203067689E+011,-6.65E+00,1.065988447627361E+002
1.127809269756586E+011,-6.43E+00,6.396663074559783E+001
1.128009336445482E+011,-6.42E+00,2.221928922364701E+001
1.128209403134378E+011,-6.47E+00,-1.94E+01
1.128409469823274E+011,-6.53E+00,-5.96E+01
1.128609536512171E+011,-6.19E+00,-1.01E+02
1.128809603201067E+011,-6.16E+00,-1.43E+02
1.129009669889963E+011,-6.34E+00,1.745705743483028E+002
1.129209736578860E+011,-6.55E+00,1.345630633602065E+002
1.129409803267756E+011,-6.41E+00,9.583985630817723E+001
1.129609869956652E+011,-6.24E+00,5.359838620094833E+001
1.129809936645549E+011,-6.27E+00,1.288975225343523E+001
1.130010003334445E+011,-6.37E+00,-2.79E+01
1.130210070023341E+011,-6.63E+00,-6.71E+01
1.130410136712237E+011,-6.42E+00,-1.05E+02
1.130610203401134E+011,-6.50E+00,-1.45E+02
1.130810270090030E+011,-6.47E+00,1.768479375752049E+002
1.131010336778926E+011,-6.29E+00,1.377593295569345E+002
1.131210403467823E+011,-6.28E+00,9.829508199411373E+001
1.131410470156719E+011,-6.35E+00,5.945658677353655E+001
1.131610536845615E+011,-6.21E+00,2.203756569337541E+001
1.131810603534512E+011,-5.82E+00,-1.74E+01
1.132010670223408E+011,-5.67E+00,-5.88E+01
1.132210736912304E+011,-5.84E+00,-9.95E+01
1.132410803601200E+011,-5.99E+00,-1.38E+02
1.132610870290097E+011,-5.65E+00,-1.77E+02
1.132810936978993E+011,-5.38E+00,1.417021761846252E+002
1.133011003667889E+011,-5.33E+00,9.948599402175472E+001
1.133211070356786E+011,-5.43E+00,5.775841309210753E+001
1.133411137045682E+011,-5.62E+00,1.670993849057035E+001
1.133611203734578E+011,-5.65E+00,-2.33E+01
1.133811270423474E+011,-5.53E+00,-6.41E+01
1.134011337112371E+011,-5.44E+00,-1.06E+02
1.134211403801267E+011,-5.50E+00,-1.49E+02
1.134411470490163E+011,-5.82E+00,1.686393833827984E+002
1.134611537179060E+011,-6.00E+00,1.289568528943243E+002
1.134811603867956E+011,-5.84E+00,8.860783009535105E+001
1.135011670556852E+011,-5.62E+00,4.615397223696355E+001
1.135211737245749E+011,-5.70E+00,1.827957101743400E+000
1.135411803934645E+011,-6.23E+00,-4.04E+01
1.135611870623541E+011,-6.52E+00,-7.88E+01
1.135811937312437E+011,-6.09E+00,-1.18E+02
1.136012004001334E+011,-5.80E+00,-1.62E+02
1.136212070690230E+011,-5.81E+00,1.538203577934677E+002
1.136412137379126E+011,-6.25E+00,1.110727516600137E+002
1.136612204068023E+011,-6.53E+00,7.188537519543468E+001
1.136812270756919E+011,-6.23E+00,3.147421442504837E+001
1.137012337445815E+011,-6.25E+00,-1.19E+01
1.137212404134712E+011,-6.56E+00,-5.38E+01
1.137412470823608E+011,-6.86E+00,-9.34E+01
1.137612537512504E+011,-6.82E+00,-1.32E+02
1.137812604201401E+011,-6.58E+00,-1.73E+02
1.138012670890297E+011,-6.66E+00,1.442112491261269E+002
1.138212737579193E+011,-7.02E+00,1.033372200355082E+002
1.138412804268089E+011,-7.29E+00,6.485157308430938E+001
1.138612870956986E+011,-7.18E+00,2.628832414810925E+001
1.138812937645882E+011,-7.16E+00,-1.49E+01
1.139013004334778E+011,-7.30E+00,-5.57E+01
1.139213071023675E+011,-7.67E+00,-9.65E+01
1.139413137712571E+011,-8.18E+00,-1.34E+02
1.139613204401467E+011,-7.98E+00,-1.70E+02
