freq[Hz]	db:Trc1_S21	ang:Trc1_S21
1.350000000000000E+011	-5.903349989056807E+000	-1.079714158241974E+002
1.350500000000000E+011	-6.302997134470015E+000	1.164933646073375E+002
1.351000000000000E+011	-6.300151400407686E+000	-2.516542543784691E+001
1.351500000000000E+011	-5.897831936563072E+000	-1.631451552135288E+002
1.352000000000000E+011	-5.739959386244163E+000	6.151001447966812E+001
1.352500000000000E+011	-5.990626483621886E+000	-7.250153667408519E+001
1.353000000000000E+011	-6.453833262773585E+000	1.488960380826482E+002
1.353500000000000E+011	-6.148878889402658E+000	9.097962139191708E+000
1.354000000000000E+011	-5.735743804749444E+000	-1.269384078318446E+002
1.354500000000000E+011	-5.642624920835083E+000	9.998460376625469E+001
1.355000000000000E+011	-6.324418338494517E+000	-3.663725391112978E+001
1.355500000000000E+011	-6.257299859574683E+000	-1.779210613307853E+002
1.356000000000000E+011	-5.769574243729863E+000	4.452751982314825E+001
1.356500000000000E+011	-5.581532343761468E+000	-9.118827856785553E+001
1.357000000000000E+011	-5.923996021220922E+000	1.339424674617467E+002
1.357500000000000E+011	-6.280271623953010E+000	-8.145381650514823E+000
1.358000000000000E+011	-5.921773080667363E+000	-1.464402608072305E+002
1.358500000000000E+011	-5.506756030367892E+000	7.848351138839944E+001
1.359000000000000E+011	-5.639346734527051E+000	-5.517329392176900E+001
1.359500000000000E+011	-6.226415237937883E+000	1.639217696329777E+002
1.360000000000000E+011	-5.807295810166493E+000	2.562853868947950E+001
1.360500000000000E+011	-5.472234547323369E+000	-1.105349312889791E+002
1.361000000000000E+011	-5.613860551747131E+000	1.155065128985454E+002
1.361500000000000E+011	-6.198105297680463E+000	-2.229438717813674E+001
1.362000000000000E+011	-5.951963777286710E+000	-1.616587369883512E+002
1.362500000000000E+011	-5.784058613621263E+000	6.121069731962393E+001
1.363000000000000E+011	-5.600164551350716E+000	-7.185388988231958E+001
1.363500000000000E+011	-6.346607946469013E+000	1.500407508154738E+002
1.364000000000000E+011	-6.027450459743712E+000	9.943954635229158E+000
1.364500000000000E+011	-5.794405429615599E+000	-1.271334346828208E+002
1.365000000000000E+011	-5.716989188987902E+000	9.779546335456485E+001
1.365500000000000E+011	-6.275286868093501E+000	-4.002867280232788E+001
1.366000000000000E+011	-5.966903516115727E+000	1.797019266155064E+002
1.366500000000000E+011	-5.805665745532118E+000	4.354814953619928E+001
1.367000000000000E+011	-5.816723573620713E+000	-9.192738128107470E+001
1.367500000000000E+011	-6.173898170143883E+000	1.307665844909147E+002
