freq[Hz]	db:Trc1_S21	ang:Trc1_S21
1.350000000000000E+011	-5.372294163927100E+000	-1.751206771526106E+002
1.350500000000000E+011	-5.334198843126321E+000	4.900205345799851E+001
1.351000000000000E+011	-5.449837380316779E+000	-8.710473584529844E+001
1.351500000000000E+011	-5.804639267489045E+000	1.352136687907646E+002
1.352000000000000E+011	-5.433532026869493E+000	-3.664007234263086E+000
1.352500000000000E+011	-5.316532539174529E+000	-1.396896340620922E+002
1.353000000000000E+011	-5.349750406951444E+000	8.486950704426050E+001
1.353500000000000E+011	-5.745089012812371E+000	-5.162663122503361E+001
1.354000000000000E+011	-5.774073715346993E+000	1.687426348911484E+002
1.354500000000000E+011	-5.472564650418137E+000	3.261280473199756E+001
1.355000000000000E+011	-5.343616526997398E+000	-1.030438383416174E+002
1.355500000000000E+011	-5.597819758495190E+000	1.209595525083280E+002
1.356000000000000E+011	-5.922618453007454E+000	-1.905114511911119E+001
1.356500000000000E+011	-5.487432981873681E+000	-1.569888841148683E+002
1.357000000000000E+011	-5.348446844737503E+000	6.725689810187694E+001
1.357500000000000E+011	-5.521678648914897E+000	-6.785017348012029E+001
1.358000000000000E+011	-5.923900612753527E+000	1.529655000578059E+002
1.358500000000000E+011	-5.551187391306700E+000	1.379834152639424E+001
1.359000000000000E+011	-5.325930069987237E+000	-1.218691144456232E+002
1.359500000000000E+011	-5.406587921013909E+000	1.037204116871058E+002
1.360000000000000E+011	-5.876973526101921E+000	-3.364621133732668E+001
1.360500000000000E+011	-5.639912539075962E+000	-1.741709478240445E+002
1.361000000000000E+011	-5.378029676409158E+000	5.061008125821994E+001
1.361500000000000E+011	-5.435224579189044E+000	-8.422182284992164E+001
1.362000000000000E+011	-5.900474537478992E+000	1.393691328725963E+002
1.362500000000000E+011	-5.770389594674862E+000	-6.980902061656095E-001
1.363000000000000E+011	-5.422891064760584E+000	-1.365225628945142E+002
1.363500000000000E+011	-5.422409363603697E+000	8.831539037595469E+001
1.364000000000000E+011	-5.725187428067262E+000	-4.770778599348527E+001
1.364500000000000E+011	-5.839400931781427E+000	1.716589925925890E+002
1.365000000000000E+011	-5.499404406154273E+000	3.568339034871364E+001
1.365500000000000E+011	-5.448726287632161E+000	-1.000922784860518E+002
1.366000000000000E+011	-5.649112395164435E+000	1.235081918440174E+002
1.366500000000000E+011	-5.878256943942429E+000	-1.604681119238073E+001
1.367000000000000E+011	-5.519026472073237E+000	-1.528458450002111E+002
1.367500000000000E+011	-5.441112041881703E+000	7.067008083353993E+001
1.368000000000000E+011	-5.509026005782971E+000	-6.635603656288208E+001
1.368500000000000E+011	-5.812911286465953E+000	1.549143106389371E+002
1.369000000000000E+011	-5.451019137032864E+000	1.706196497330075E+001
1.369500000000000E+011	-5.510504675916239E+000	-1.187592273738714E+002
1.370000000000000E+011	-5.647041199471818E+000	1.052367489753352E+002
1.370500000000000E+011	-5.900865077399696E+000	-3.195428350907791E+001
1.371000000000000E+011	-5.678463737381706E+000	-1.694433691938639E+002
1.371500000000000E+011	-5.614624174817009E+000	5.641667610449012E+001
1.372000000000000E+011	-5.564206344961748E+000	-7.966350709135638E+001
1.372500000000000E+011	-5.716623816044092E+000	1.443607449516960E+002
1.373000000000000E+011	-5.635819831993565E+000	4.944936607530183E+000
1.373500000000000E+011	-5.442541085669181E+000	-1.310992242360535E+002
1.374000000000000E+011	-5.418610324753246E+000	9.170524228127340E+001
1.374500000000000E+011	-5.565026565802485E+000	-4.528639949583827E+001
1.375000000000000E+011	-5.734770187359503E+000	1.757681093738303E+002
1.375500000000000E+011	-5.547844098264195E+000	3.780597729887207E+001
1.376000000000000E+011	-5.461391721907567E+000	-9.872331471021137E+001
1.376500000000000E+011	-5.494936368906787E+000	1.248734236417343E+002
1.377000000000000E+011	-5.851937551993049E+000	-1.259474605941907E+001
1.377500000000000E+011	-5.589774529336108E+000	-1.506461646590214E+002
1.378000000000000E+011	-5.572168202711160E+000	7.334933545354413E+001
1.378500000000000E+011	-5.543845875776936E+000	-6.237795622525821E+001
1.379000000000000E+011	-5.813763589012750E+000	1.617605085286667E+002
1.379500000000000E+011	-5.795153730972382E+000	2.354315527859495E+001
1.380000000000000E+011	-5.571800714166624E+000	-1.129285776152038E+002
1.380500000000000E+011	-5.555742157383429E+000	1.108968426827363E+002
1.381000000000000E+011	-5.732909753589781E+000	-2.388364227563932E+001
1.381500000000000E+011	-5.898458332195428E+000	-1.642373124101095E+002
1.382000000000000E+011	-5.523988658112604E+000	5.844421703252763E+001
1.382500000000000E+011	-5.535183609078362E+000	-7.792871577989928E+001
1.383000000000000E+011	-5.586337824827629E+000	1.470480639006995E+002
1.383500000000000E+011	-6.014212070025915E+000	7.112236710890755E+000
1.384000000000000E+011	-5.662871507291915E+000	-1.309650030382205E+002
1.384500000000000E+011	-5.525612994156976E+000	9.231939782994571E+001
1.385000000000000E+011	-5.580572049946359E+000	-4.284268768310518E+001
1.385500000000000E+011	-6.115170949316910E+000	-1.798999384206124E+002
1.386000000000000E+011	-5.713207349113104E+000	3.989428944559504E+001
1.386500000000000E+011	-5.518679808188419E+000	-9.583614759027651E+001
1.387000000000000E+011	-5.517520731028608E+000	1.292709954825880E+002
1.387500000000000E+011	-5.995341579736708E+000	-6.763950766386317E+000
1.388000000000000E+011	-5.828588562557396E+000	-1.467931636064778E+002
1.388500000000000E+011	-5.519072967824979E+000	7.770135293477382E+001
1.389000000000000E+011	-5.549693879997743E+000	-5.748462939468591E+001
1.389500000000000E+011	-5.898809471905939E+000	1.674400438949023E+002
1.390000000000000E+011	-5.935471194286524E+000	2.614931054624337E+001
1.390500000000000E+011	-5.522560913579647E+000	-1.097848260707727E+002
1.391000000000000E+011	-5.550711947560353E+000	1.148392472185053E+002
1.391500000000000E+011	-5.936084597446400E+000	-2.086902656568475E+001
1.392000000000000E+011	-6.116656109790131E+000	-1.618689458796959E+002
1.392500000000000E+011	-5.590834937310853E+000	6.059096030510959E+001
1.393000000000000E+011	-5.550722160028639E+000	-7.504819846959207E+001
1.393500000000000E+011	-5.717092683380115E+000	1.492689538058178E+002
1.394000000000000E+011	-6.046863330507025E+000	9.003936278563558E+000
1.394500000000000E+011	-5.676758218079459E+000	-1.284688718796257E+002
1.395000000000000E+011	-5.520056571192447E+000	9.657786422607299E+001
1.395500000000000E+011	-5.650014512766266E+000	-3.918745599841743E+001
1.396000000000000E+011	-5.956969482755200E+000	-1.763276683179844E+002
1.396500000000000E+011	-5.694617584243857E+000	4.498934045955044E+001
1.397000000000000E+011	-5.549142269053048E+000	-9.044437358623090E+001
1.397500000000000E+011	-5.721455839205929E+000	1.342775434628983E+002
1.398000000000000E+011	-5.906460766485291E+000	-2.985504566181586E+000
1.398500000000000E+011	-5.871068123116940E+000	-1.413432444239949E+002
1.399000000000000E+011	-5.749671085664941E+000	8.215933258962140E+001
1.399500000000000E+011	-5.678039205672071E+000	-5.355433396744203E+001
1.400000000000000E+011	-5.943534473300111E+000	1.693500074964868E+002
1.400500000000000E+011	-5.989069048770226E+000	2.989122665177824E+001
1.401000000000000E+011	-5.766871729812324E+000	-1.073042662057149E+002
1.401500000000000E+011	-5.613635769754027E+000	1.162984639057263E+002
1.402000000000000E+011	-5.897324266959446E+000	-1.885441627652827E+001
1.402500000000000E+011	-6.046504018356693E+000	-1.582650840542922E+002
1.403000000000000E+011	-5.805081630022821E+000	6.253133672686859E+001
1.403500000000000E+011	-5.555332782450790E+000	-7.239774382645150E+001
1.404000000000000E+011	-5.706223989471955E+000	1.532154025070727E+002
1.404500000000000E+011	-6.160831701814113E+000	1.569587000074480E+001
1.405000000000000E+011	-5.949139618752660E+000	-1.241584675399264E+002
1.405500000000000E+011	-5.581713511623147E+000	1.002353835720803E+002
1.406000000000000E+011	-5.607839723646737E+000	-3.372239463788647E+001
1.406500000000000E+011	-6.089981445990834E+000	-1.696193560620322E+002
1.407000000000000E+011	-6.164561627330252E+000	4.977652282038849E+001
1.407500000000000E+011	-5.677629566765584E+000	-8.691794323359706E+001
1.408000000000000E+011	-5.587642887530794E+000	1.387454400459118E+002
1.408500000000000E+011	-5.917554280024877E+000	3.390754190442803E+000
1.409000000000000E+011	-6.305204002723767E+000	-1.371750074129494E+002
1.409500000000000E+011	-5.635662089330206E+000	8.454522125624523E+001
1.410000000000000E+011	-5.540012485053528E+000	-5.079275024064440E+001
1.410500000000000E+011	-5.707082549840458E+000	1.737941320324062E+002
1.411000000000000E+011	-6.312013100312337E+000	3.433840541182959E+001
1.411500000000000E+011	-5.754937378494825E+000	-1.052017732333890E+002
1.412000000000000E+011	-5.623329551408328E+000	1.202694671506116E+002
1.412500000000000E+011	-5.721368195932146E+000	-1.506262494290278E+001
1.413000000000000E+011	-6.332093573560739E+000	-1.520877288243828E+002
1.413500000000000E+011	-5.929356729565153E+000	6.660142303867235E+001
1.414000000000000E+011	-5.627235766961343E+000	-6.732942184175664E+001
1.414500000000000E+011	-5.758892412331899E+000	1.582422282923765E+002
1.415000000000000E+011	-6.165026783681384E+000	2.217024702778732E+001
1.415500000000000E+011	-6.130073782790633E+000	-1.182273786107914E+002
1.416000000000000E+011	-5.615688450510531E+000	1.058493956052537E+002
1.416500000000000E+011	-5.648414634862657E+000	-2.933692658526102E+001
1.417000000000000E+011	-6.052025055023687E+000	-1.654600749400024E+002
1.417500000000000E+011	-6.084516763850616E+000	5.388095327997659E+001
1.418000000000000E+011	-5.736214565196513E+000	-8.270289784577159E+001
1.418500000000000E+011	-5.833739927420812E+000	1.420795888397458E+002
1.419000000000000E+011	-6.084659994599210E+000	5.557867871521054E+000
1.419500000000000E+011	-6.220835200356226E+000	-1.335645898005621E+002
1.420000000000000E+011	-5.903057271239523E+000	8.922430435528280E+001
1.420500000000000E+011	-5.832236983737251E+000	-4.632624486700612E+001
1.421000000000000E+011	-6.016583206358151E+000	1.783885433030436E+002
1.421500000000000E+011	-6.196025076945241E+000	4.034934468064544E+001
1.422000000000000E+011	-6.015082712592907E+000	-9.799312253391203E+001
1.422500000000000E+011	-5.792106657439314E+000	1.260447234764584E+002
1.423000000000000E+011	-5.794044326305605E+000	-8.830612303793441E+000
1.423500000000000E+011	-6.159839881050131E+000	-1.447708391213249E+002
1.424000000000000E+011	-6.293038786444194E+000	7.578006723279700E+001
1.424500000000000E+011	-5.974951390218593E+000	-6.112430713399100E+001
1.425000000000000E+011	-5.786607820079154E+000	1.638444845110386E+002
1.425500000000000E+011	-6.048228249588780E+000	2.883372040536350E+001
1.426000000000000E+011	-6.515746408992040E+000	-1.093853047635482E+002
1.426500000000000E+011	-6.256016341605490E+000	1.108221318228169E+002
1.427000000000000E+011	-5.882110711104887E+000	-2.455888120157846E+001
1.427500000000000E+011	-6.021555074404649E+000	-1.584055614865041E+002
