freq[Hz],db:Trc2_S21,ang:Trc2_S21,,,,
1.100000000000000E+011,-6.43E+00,1.542481247104182E+002,,,,
1.100200066688896E+011,-6.45E+00,1.135659032400824E+002,,,,
1.100400133377793E+011,-6.46E+00,7.251390849673682E+001,,,,
1.100600200066689E+011,-6.48E+00,3.150138239001378E+001,,,,
1.100800266755585E+011,-6.54E+00,-9.30E+00,,,,
1.101000333444482E+011,-6.52E+00,-4.99E+01,,,,
1.101200400133378E+011,-6.51E+00,-9.11E+01,,,,
1.101400466822274E+011,-6.51E+00,-1.32E+02,,,,
1.101600533511170E+011,-6.49E+00,-1.73E+02,,,,
1.101800600200067E+011,-6.44E+00,1.462705166317605E+002,,,,
1.102000666888963E+011,-6.29E+00,1.049687802836756E+002,,,,
1.102200733577859E+011,-6.26E+00,6.284003727573100E+001,,,,
1.102400800266756E+011,-6.30E+00,2.111788358157287E+001,,,,
1.102600866955652E+011,-6.37E+00,-2.07E+01,,,,
1.102800933644548E+011,-6.43E+00,-6.15E+01,,,,
1.103001000333445E+011,-6.41E+00,-1.03E+02,,,,
1.103201067022341E+011,-6.41E+00,-1.44E+02,,,,
1.103401133711237E+011,-6.43E+00,1.746250972898790E+002,,,,
1.103601200400133E+011,-6.50E+00,1.333321296100238E+002,,,,
1.103801267089030E+011,-6.62E+00,9.280139028936182E+001,,,,
1.104001333777926E+011,-6.57E+00,5.206781310528475E+001,,,,
1.104201400466822E+011,-6.58E+00,1.140524091195477E+001,,,,
1.104401467155719E+011,-6.56E+00,-2.92E+01,,,,
1.104601533844615E+011,-6.55E+00,-6.96E+01,,,,
1.104801600533511E+011,-6.50E+00,-1.10E+02,,,,
1.105001667222408E+011,-6.40E+00,-1.51E+02,,,,
1.105201733911304E+011,-6.37E+00,1.684958066466720E+002,,,,
1.105401800600200E+011,-6.39E+00,1.273856649068314E+002,,,,
1.105601867289096E+011,-6.48E+00,8.690749928467955E+001,,,,
1.105801933977993E+011,-6.54E+00,4.696560242949747E+001,,,,
1.106002000666889E+011,-6.56E+00,6.814880657867177E+000,,,,
1.106202067355785E+011,-6.60E+00,-3.32E+01,,,,
1.106402134044682E+011,-6.63E+00,-7.28E+01,,,,
1.106602200733578E+011,-6.65E+00,-1.12E+02,,,,
1.106802267422474E+011,-6.64E+00,-1.52E+02,,,,
1.107002334111370E+011,-6.55E+00,1.680491652336923E+002,,,,
1.107202400800267E+011,-6.50E+00,1.277115558369196E+002,,,,
1.107402467489163E+011,-6.47E+00,8.736691692092249E+001,,,,
1.107602534178059E+011,-6.51E+00,4.683774776031451E+001,,,,
1.107802600866956E+011,-6.48E+00,6.778412090761314E+000,,,,
1.108002667555852E+011,-6.44E+00,-3.40E+01,,,,
1.108202734244748E+011,-6.44E+00,-7.50E+01,,,,
1.108402800933645E+011,-6.49E+00,-1.16E+02,,,,
1.108602867622541E+011,-6.57E+00,-1.56E+02,,,,
1.108802934311437E+011,-6.51E+00,1.630776351353596E+002,,,,
1.109003001000333E+011,-6.48E+00,1.222661707179072E+002,,,,
1.109203067689230E+011,-6.42E+00,8.127528593463536E+001,,,,
1.109403134378126E+011,-6.39E+00,3.978710071571225E+001,,,,
1.109603201067022E+011,-6.35E+00,-1.06E+00,,,,
1.109803267755919E+011,-6.28E+00,-4.28E+01,,,,
1.110003334444815E+011,-6.27E+00,-8.44E+01,,,,
1.110203401133711E+011,-6.29E+00,-1.26E+02,,,,
1.110403467822608E+011,-6.32E+00,-1.67E+02,,,,
1.110603534511504E+011,-6.32E+00,1.517113087865708E+002,,,,
1.110803601200400E+011,-6.25E+00,1.105643668637975E+002,,,,
1.111003667889296E+011,-6.21E+00,6.873757091859092E+001,,,,
1.111203734578193E+011,-6.23E+00,2.693891356021198E+001,,,,
1.111403801267089E+011,-6.35E+00,-1.48E+01,,,,
1.111603867955985E+011,-6.49E+00,-5.55E+01,,,,
1.111803934644882E+011,-6.54E+00,-9.59E+01,,,,
1.112004001333778E+011,-6.56E+00,-1.37E+02,,,,
1.112204068022674E+011,-6.60E+00,-1.77E+02,,,,
1.112404134711571E+011,-6.69E+00,1.422978787233384E+002,,,,
1.112604201400467E+011,-6.73E+00,1.030002199409049E+002,,,,
1.112804268089363E+011,-6.66E+00,6.338158997940011E+001,,,,
1.113004334778259E+011,-6.57E+00,2.332222523995433E+001,,,,
1.113204401467156E+011,-6.52E+00,-1.71E+01,,,,
1.113404468156052E+011,-6.60E+00,-5.66E+01,,,,
1.113604534844948E+011,-6.46E+00,-9.59E+01,,,,
1.113804601533845E+011,-6.31E+00,-1.36E+02,,,,
1.114004668222741E+011,-6.24E+00,-1.77E+02,,,,
1.114204734911637E+011,-6.27E+00,1.426754721948122E+002,,,,
1.114404801600533E+011,-6.36E+00,1.027923178594118E+002,,,,
1.114604868289430E+011,-6.32E+00,6.324169969639181E+001,,,,
1.114804934978326E+011,-6.25E+00,2.331221099883858E+001,,,,
1.115005001667222E+011,-6.19E+00,-1.71E+01,,,,
